"filename", "language", "C", "CMake", "JSON with Comments", "Markdown", "C++", "XML", "comment", "blank", "total"
"e:\Project\PP_Keys\CMakeLists.txt", "CMake", 0, 31, 0, 0, 0, 0, 0, 9, 40
"e:\Project\PP_Keys\PP_Keys.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\Project\PP_Keys\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\app\CMakeLists.txt", "CMake", 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\Project\PP_Keys\app\app.c", "C", 100, 0, 0, 0, 0, 0, 11, 18, 129
"e:\Project\PP_Keys\app\app_event.c", "C", 32, 0, 0, 0, 0, 0, 37, 11, 80
"e:\Project\PP_Keys\app\include\app.h", "C++", 0, 0, 0, 0, 7, 0, 0, 5, 12
"e:\Project\PP_Keys\app\include\app_event.h", "C++", 0, 0, 0, 0, 15, 0, 0, 6, 21
"e:\Project\PP_Keys\cmake\FindXXX.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\cmake\Toolchain.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\cmake\Version.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\config\config.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\config\include\config.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\config\include\ini.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\config\ini.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\core\CMakeLists.txt", "CMake", 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\Project\PP_Keys\core\action_list.c", "C", 36, 0, 0, 0, 0, 0, 42, 10, 88
"e:\Project\PP_Keys\core\hotkey.c", "C", 49, 0, 0, 0, 0, 0, 52, 10, 111
"e:\Project\PP_Keys\core\include\action_list.h", "C++", 0, 0, 0, 0, 17, 0, 0, 10, 27
"e:\Project\PP_Keys\core\include\hotkey.h", "C++", 0, 0, 0, 0, 24, 0, 0, 12, 36
"e:\Project\PP_Keys\core\include\keyboard.h", "C++", 0, 0, 0, 0, 12, 0, 0, 8, 20
"e:\Project\PP_Keys\core\include\macro_engine.h", "C++", 0, 0, 0, 0, 10, 0, 0, 7, 17
"e:\Project\PP_Keys\core\include\state_machine.h", "C++", 0, 0, 0, 0, 14, 0, 0, 7, 21
"e:\Project\PP_Keys\core\keyboard.c", "C", 32, 0, 0, 0, 0, 0, 50, 9, 91
"e:\Project\PP_Keys\core\macro_engine.c", "C", 65, 0, 0, 0, 0, 0, 43, 16, 124
"e:\Project\PP_Keys\core\state_machine.c", "C", 50, 0, 0, 0, 0, 0, 27, 7, 84
"e:\Project\PP_Keys\include\app_config.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\include\common.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\include\macro_define.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\include\typedefs.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\include\version.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\main.c", "C", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\Project\PP_Keys\platform\CMakeLists.txt", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Project\PP_Keys\platform\linux\占位.c", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Project\PP_Keys\platform\mac\占位.c", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Project\PP_Keys\platform\win32\CMakeLists.txt", "CMake", 0, 10, 0, 0, 0, 0, 0, 2, 12
"e:\Project\PP_Keys\platform\win32\include\message_loop.h", "C++", 0, 0, 0, 0, 6, 0, 0, 3, 9
"e:\Project\PP_Keys\platform\win32\include\tray.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Project\PP_Keys\platform\win32\include\win_util.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Project\PP_Keys\platform\win32\include\window.h", "C++", 0, 0, 0, 0, 10, 0, 0, 7, 17
"e:\Project\PP_Keys\platform\win32\message_loop.c", "C", 14, 0, 0, 0, 0, 0, 11, 2, 27
"e:\Project\PP_Keys\platform\win32\tray.c", "C", 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Project\PP_Keys\platform\win32\win_util.c", "C", 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Project\PP_Keys\platform\win32\window.c", "C", 87, 0, 0, 0, 0, 0, 50, 20, 157
"e:\Project\PP_Keys\resource\manifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\third_party\占位.c", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Project\PP_Keys\ui\CMakeLists.txt", "CMake", 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\Project\PP_Keys\ui\imgui\ui_imgui.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\ui\include\ui.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\ui\include\ui_win32.h", "C++", 0, 0, 0, 0, 13, 0, 0, 6, 19
"e:\Project\PP_Keys\ui\ui.c", "C", 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Project\PP_Keys\ui\win32\ui_win32.c", "C", 28, 0, 0, 0, 0, 0, 29, 6, 63
"Total", "-", 507, 65, 8, 0, 130, 0, 365, 217, 1292
